订单到期关闭如何实现,"1. 被动关闭不推荐
2. 定时任务适合精度不高的场景
3. MQ存在大量无效调度不合适
4. Redisson可以使用，普通Redis可能存在重复消费","订单流转,Redis,定时任务,MQ"
每天100W次登录请求，4C8G机器如何做JVM调优,"1. 每天一百万，一天86400秒，差不多QPS 10
2. 峰值按20倍估算，QPS 200
3. 分析登录场景，主要是鉴权，新生代产生较多
4. 考虑堆内存为系统内存一半，选G1，设置调优参数，添加必要日志",JVM
业务量突然提升100倍QPS,"1. 坏情况被DDoS了，封IP，商业化DNS保护，路由器或防火墙防IP欺骗，监控网络等等
2. 好情况业务提升了，临时方案加机器资源，长期方案设计高并发系统，支持可扩展","高并发系统,网络攻击"
不用Redis分布式锁，怎样防止重复点击,"1. 前端置灰
2. 访问前向后端请求生成一个token，发送请求时带入token，判断是否使用过
3. 滑动窗口限流
4. 布隆过滤器判断是否执行过请求
5. 使用数据库的乐观锁或悲观锁","限流,幂等"
设计订单号生成服务,"1. 唯一性，UUID或雪花算法，前者可能会导致数据库分页
2. 数据量，提前预留足够位数
3. 可读性，应该有固定格式
4. 基因法，事先考虑分表可能用到的信息保存在订单号里
5. 订单号服务要求能支持高并发高性能高可用
6. 举例 FT202601011200131234560052","唯一ID,分表分库"
设计购物车功能,"1. 商品使用SKUID记录，只记录数量和时间戳
2. 未登录状态缓存在客户端和浏览器
3. 登录状态缓存在数据库或Redis，需要多记录用户ID",表设计
设计秒杀系统,"1. 高并发瞬间流量，从客户端，CDN，Nginx，应用，缓存和数据库等层层过滤
2. 热点数据，拆分热点数据到多个数据上，负载均衡打散请求；缓存热点数据，做预热
3. 数据量大，缓存，ES，分库分表，历史数据归档
4. 库存正确扣减，超卖用Redis lua扣减或数据库，少卖要时刻回滚数据，数据对账
5. 黄牛，风控等算法去记录拦截
6. 重复下单，用请求的token等做幂等判断
7. 对其他业务影响，可以把秒杀服务单独成一个服务物理隔离，数据打标做逻辑隔离
8. 业务手段可以预约才能参与秒杀，或者要求验证码",秒杀系统
设计消息队列,"1. 基础架构，生产消费者，broker，消息主题和分区
2. 消息存储，消息传递协议，序列化器，分发方式（订阅或点对点），传递方式（推或拉）
3. 消息可靠性不丢失，主从复制，集群模式等
4. 高性能设计，批量操作，顺序写入，零拷贝
5. 扩展功能，延迟消息，事务消息等，考虑消息堆积、重复消费问题",MQ
库存扣减避免超卖少卖,"1. 超卖：数据库做扣减，可以引入淘宝或小红书的热点行更新技术；Redis的lua脚本做扣减，然后发MQ处理数据库，可能导致Redis处理成功后续处理失败，出现少卖
2. 少卖：引入对账机制，及时回退扣减失败的库存",秒杀系统
怎么用Redis实现朋友圈点赞功能,用zset，key是具体的朋友圈ID，ZSET的value是用户ID，score是时间戳,Redis
Redis的zset实现排行榜，分数相同按时间顺序排序,score里分数做整数，时间戳÷1e13做小数，时间早的排最上面，那就1-这个小数；时间晚的排最上面，那就直接用小数,Redis
怎么用Redis实现查找附近的人功能,用GEO数据类型存储用户经纬度,Redis
消息用推模式还是拉模式,"1. 推模式是建议TCP长链接实时推送，适合实时性要求高场景
2. 拉模式上消费者轮询，如长轮询，适合消费者自己控制消费速率。也适用于服务器不支持双向通信，即只允许客户端访问服务端的情况",MQ
如何设计一个RPC框架,"1. 通信协议：rmi，dubbo，hessian，http，restful，webservice，thrift等
2. 序列化协议：Java原生序列化不支持跨语言，JSON序列化，XML序列化，protobuf序列化，thrift序列化
3. 服务注册与发现：zookeeper，nacos等
4. 负载均衡
5. 动态代理
6. 缓存，服务降级，高可用，异步回调",RPC
kafka单分区单消费者怎么提高吞吐量,"1. 异步消费，接收消息后直接落库提交offset
2. 多线程消费，但要考虑怎么提交offset和幂等。如提交最大的offset或本地缓存消息offset，提交不连续的前一个offset
3. 消息压缩或组合
4. 调整kafka参数",MQ
订单11:00同时出现超时关闭和支付成功如何处理,"1. 建议状态机，确保状态流转的限制，只允许一个成功
2. 引入分布式锁
3. 支付成功，则直接不管关闭的动作；关闭成功，则回退金额",业务问题
一个支付单多个支付渠道都成功拉怎么办,做幂等控制限制只能支付一次，做状态机限制状态的流转,业务问题
如何解决重复消费信息和重复下单问题,一锁二判三更新,幂等
如何进行SQL调优,结合实际经验，考虑索引失效、多表join、没有索引覆盖、数据量大、索引区分度不高、表结构不合理、数据库IO或CPU高、事务太长、数据库参数不合理、深分页、锁竞争等,DB
不使用synchronize和lock实现线程安全的单例,饿汉模式，静态内部类，枚举,设计模式
索引失效是如何排查的,"1. explain分析执行计划，查看key，type，extra的值
2. 看是否没建立索引、索引区分度不高、表太小、没有最左原则、隐式转换、函数计算等",DB
40亿个QQ号，1G内存怎么去重,"1. 如果用unsigned int，则40亿*4/1024/1024/1024=14.9G
2. 用位图，40亿*1/8/1024/1024 = 476M
3. 考虑到实际QQ号有10位数，应该算100亿，所以是1192M",业务问题
说一下多级缓存如何应用,"1. 客户端缓存，例如秒杀系统的倒计时
2. CDN缓存，用来缓存前端用到的静态资源
3. Ngnix缓存，可以缓存一些前置校验的信息，如IP黑名单等
4. web app缓存，本地缓存一些不频繁变化的信息，如活动时间，用户信息等
5. 分布式缓存，商品库存等需要实时变化且考虑一致性的数据",缓存
